n_clusters,n_cubes,perc_overlap,Accuracy,Balanced Accuracy,AUROC
2,2,0.1,0.9581813761244834,0.5262041527648792,0.6308067431790474
2,2,0.15,0.9572088499878434,0.5256996755294144,0.5849392313006893
2,2,0.2,0.9578166788232434,0.5195332056853056,0.6118593340815562
2,2,0.25,0.9584245076586433,0.5247098300446769,0.6048072688884897
2,2,0.3,0.9610989545344031,0.5277175844712735,0.5786043900560234
2,2,0.35,0.963287138,0.525611774,0.5522743303043467
2,2,0.4,0.962193046,0.5250442373030342,0.5916596494222929
2,2,0.45,0.962193046,0.5250442373030342,0.5934310524422771
2,2,0.5,0.962314612,0.5267277389865358,0.5898432341237235
2,2,0.55,0.9619499149039631,0.5265385600232365,0.5966099384563252
2,2,0.6,0.9600048626306832,0.5287704896104441,0.6258195101050442
2,3,0.1,0.963287138,0.5142686799894518,0.5589144906839445
2,3,0.15,0.9634087041089229,0.5143317396438849,0.5582214714513869
2,3,0.2,0.962922441,0.5156999430552212,0.5528590652818172
2,3,0.25,0.962193046,0.5153215851286226,0.5611058667560118
2,3,0.3,0.9603695599319232,0.5338209946609492,0.5842347466764164
2,3,0.35,0.9584245076586433,0.5328120401900198,0.6248511091492552
2,3,0.4,0.9606126914660832,0.543669766,0.6398202396436725
2,3,0.45,0.9602479941648432,0.5369988190646533,0.608788095
2,3,0.5,0.9619499149039631,0.5395020962557853,0.6047380518940616
2,3,0.55,0.96267931,0.5123329396882178,0.5352172245853668
2,3,0.6,0.9612205203014831,0.5212988760094321,0.6061805680294772
2,4,0.1,0.9583029418915633,0.5262672124193123,0.6261116652717108
2,4,0.15,0.9593970337952833,0.5333165174254846,0.6342291626060071
2,4,0.2,0.9618283491368831,0.5394390366013522,0.6521616722146424
2,4,0.25,0.9617067833698031,0.5377555349178504,0.6219374133991362
2,4,0.3,0.9596401653294432,0.5399244048506251,0.596733298
2,4,0.35,0.962314612,0.5429321592772217,0.630206084
2,4,0.4,0.9598832968636032,0.5319483140141482,0.6055436018230823
2,4,0.45,0.9596401653294432,0.5366835207924879,0.6117194138382183
2,4,0.5,0.9584245076586433,0.5311915981609512,0.6192710728591673
2,4,0.55,0.9591539022611233,0.5331903981166184,0.6105637448177491
2,4,0.6,0.9597617310965232,0.5270239282725094,0.597851173
2,5,0.1,0.9617067833698031,0.5166897885399588,0.5415834894962149
2,5,0.15,0.9603695599319232,0.5257187845156063,0.5985210493975787
2,5,0.2,0.9574519815220034,0.5355484470126922,0.6243931304468573
2,5,0.25,0.9586676391928033,0.5313177174698174,0.627771387
2,5,0.3,0.9590323364940433,0.5331273384621853,0.6212378121824458
2,5,0.35,0.9600048626306832,0.5368726997557872,0.6084267231952942
2,5,0.4,0.9602479941648432,0.5353783770355848,0.63094178
2,5,0.45,0.9586676391928033,0.532938159,0.6044904843618427
2,5,0.5,0.9587892049598833,0.5330012191533191,0.598450134
2,5,0.55,0.9592754680282033,0.5300125737129142,0.6001661207866278
2,5,0.6,0.9618283491368831,0.5394390366013522,0.5939119619281052
2,6,0.1,0.9638949671772429,0.5243066304360289,0.5566398843609085
2,6,0.15,0.962314612,0.5105233186958499,0.5471637381083718
2,6,0.2,0.962922441,0.5108386169680154,0.5460702794540605
2,6,0.25,0.962436178,0.510586378,0.5452432849960911
2,6,0.3,0.962922441,0.5108386169680154,0.5462488423139198
2,6,0.35,0.962314612,0.5105233186958499,0.5458876824748939
2,6,0.4,0.9589107707269633,0.5314438367786836,0.6227176970019699
2,6,0.45,0.963165573,0.5401326928001162,0.6217620353703088
2,6,0.5,0.9617067833698031,0.5328942088306446,0.6356591517393636
2,6,0.55,0.9634087041089229,0.5370179280508453,0.6313222611620896
2,6,0.6,0.9581813761244834,0.5294450368230164,0.5935675755325144
2,7,0.1,0.9614636518356431,0.5165636692310926,0.5420769259841022
2,7,0.15,0.9614636518356431,0.506841017,0.510745408
2,7,0.2,0.9614636518356431,0.5181841112601612,0.5721572304369631
2,7,0.25,0.9597617310965232,0.5270239282725094,0.586581543
2,7,0.3,0.9591539022611233,0.5234677459422068,0.5846462268457475
2,7,0.35,0.9601264283977632,0.5255926652067401,0.5843978100252536
2,7,0.4,0.9590323364940433,0.5347477804912538,0.6240483194071289
2,7,0.45,0.9579382445903234,0.534180244,0.5956392019577793
2,7,0.5,0.9606126914660832,0.5128813675919238,0.5550009703118544
2,7,0.55,0.9606126914660832,0.5355675559988841,0.624649191
2,7,0.6,0.9602479941648432,0.5337579350065161,0.6285151510905074
2,8,0.1,0.9593970337952833,0.5349369594545531,0.6476598073899122
2,8,0.15,0.9586676391928033,0.5426608116732975,0.6315948826984267
2,8,0.2,0.9602479941648432,0.5467214712390649,0.6319004141554275
2,8,0.25,0.962800875,0.5448048399240226,0.6080634401355804
2,8,0.3,0.9643812302455629,0.5699312458676817,0.6795921972489005
2,8,0.35,0.9645027960126429,0.5683738634930462,0.6730855874505767
2,8,0.4,0.9642596644784829,0.5633864180969743,0.6728159384232029
2,8,0.45,0.9643812302455629,0.5634494777514074,0.6787690245881696
2,8,0.5,0.9648674933138828,0.5637017163691398,0.6741665191028289
2,8,0.55,0.9647459275468028,0.5587773306275009,0.683930574
2,8,0.6,0.9641380987114029,0.5568415903262668,0.669035756
2,9,0.1,0.9638949671772429,0.5615767971046064,0.6894588037859573
2,9,0.15,0.9637734014101629,0.5647546215083105,0.6916826651345507
2,9,0.2,0.9635302698760029,0.5646285021994443,0.6880152260401977
2,9,0.25,0.9637734014101629,0.5679955055664476,0.6863669698201164
2,9,0.3,0.9641380987114029,0.5681846845297469,0.6770008063992174
2,9,0.35,0.9635302698760029,0.5646285021994443,0.6888158925616361
2,9,0.4,0.9640165329443229,0.5665011828462453,0.6737427242535075
2,9,0.45,0.9643812302455629,0.5666903618095446,0.6712746925257962
2,9,0.5,0.9642596644784829,0.5650068601260428,0.6669140218768167
2,9,0.55,0.9641380987114029,0.5617029164134726,0.6723734592318272
2,9,0.6,0.9634087041089229,0.5451201381961881,0.6653320101422007
2,10,0.1,0.9638949671772429,0.5550950289883321,0.6663367181717541
2,10,0.15,0.9645027960126429,0.5586512113186347,0.6699491658502883
2,10,0.2,0.9635302698760029,0.550044524,0.6717534787909363
2,10,0.25,0.9636518356430829,0.5517280256213287,0.6832940325183988
2,10,0.3,0.9634087041089229,0.5580836744287369,0.6927153996771855
2,10,0.35,0.963165573,0.5514757870035963,0.6642402500644398
2,10,0.4,0.9635302698760029,0.5484240819087585,0.6645071389049191
2,10,0.45,0.9637734014101629,0.5485502012176247,0.6634744043622843
2,10,0.5,0.9637734014101629,0.5436888751304189,0.6682544110971405
2,10,0.55,0.963165573,0.5433735768582534,0.6720532775520793
2,10,0.6,0.9635302698760029,0.5468036398796898,0.6616189218030561
2,11,0.1,0.96267931,0.551223548,0.6748835307291607
2,11,0.15,0.963287138,0.553159289,0.6833008268246004
2,11,0.2,0.962800875,0.5561479341275027,0.6790030035079854
2,11,0.25,0.9637734014101629,0.5566524113629675,0.6767496293918289
2,11,0.3,0.9635302698760029,0.5565262920541013,0.6842257017562856
2,11,0.35,0.9636518356430829,0.5517280256213287,0.6712944384781944
2,11,0.4,0.9642596644784829,0.5504228818644256,0.6518032725625108
2,11,0.45,0.9643812302455629,0.5537268255769958,0.6532489735289584
2,11,0.5,0.9634087041089229,0.5467405802252567,0.643520801
2,11,0.55,0.9636518356430829,0.5452462575050543,0.6635066773167417
2,11,0.6,0.9634087041089229,0.5434996961671196,0.6678282807050622
2,12,0.1,0.963044007,0.5530331693782318,0.6709787155618914
2,12,0.15,0.962314612,0.549413927,0.6638665632233548
2,12,0.2,0.9638949671772429,0.5534745869592634,0.6622902841845961
2,12,0.25,0.9634087041089229,0.5483610222543254,0.6551154968357642
2,12,0.3,0.9638949671772429,0.5453723768139205,0.646392457
2,12,0.35,0.9637734014101629,0.5517910852757618,0.6650865658306697
2,12,0.4,0.9638949671772429,0.5518541449301949,0.6571686512410437
2,12,0.45,0.9635302698760029,0.5451831978506212,0.6616834677119706
